iter	Passed	Remaining
202	26149	38257
203	26229	38059
204	26347	37914
205	26494	37812
206	26629	37693
207	26729	37524
208	26900	37455
209	27024	37319
210	27092	37107
211	27251	37020
212	27389	36904
213	27507	36761
214	27672	36682
215	27850	36617
216	27998	36514
217	28150	36414
218	28232	36225
219	28299	36016
220	28406	35861
221	28528	35724
222	28658	35597
223	28796	35481
224	28909	35334
225	29012	35174
226	29123	35025
227	29183	34815
228	29305	34680
229	29410	34525
230	29543	34403
231	29713	34324
232	29905	34269
233	30047	34156
234	30193	34047
235	30336	33936
236	30463	33805
237	30575	33658
238	30700	33526
239	30770	33334
240	30880	33187
241	30995	33044
242	31138	32932
243	31197	32732
244	31329	32607
245	31446	32468
246	31624	32393
247	31763	32275
248	31893	32150
249	32042	32042
250	32162	31906
251	32271	31759
252	32418	31649
253	32541	31516
254	32654	31373
255	32793	31256
256	32913	31120
257	33042	30993
258	33174	30868
259	33358	30792
260	33489	30666
261	33532	30460
262	33668	30340
263	33790	30206
264	33889	30053
265	33993	29903
266	34115	29770
267	34233	29635
268	34345	29493
269	34374	29282
270	34499	29152
271	34566	28975
272	34690	28845
273	34821	28721
274	34959	28603
275	35107	28492
276	35224	28357
277	35364	28240
278	35503	28122
279	35605	27975
280	35716	27836
281	35847	27711
282	35943	27561
283	36040	27410
284	36201	27309
285	36325	27180
286	36448	27050
287	36597	26939
288	36769	26845
289	36983	26781
290	37110	26653
291	37288	26561
292	37433	26446
293	37554	26313
294	37689	26191
295	37851	26087
296	37965	25949
297	38107	25831
298	38248	25712
299	38457	25638
300	38627	25537
301	38804	25441
302	38959	25329
303	39098	25208
304	39168	25041
305	39294	24912
306	39415	24778
307	39514	24632
308	39632	24497
309	39757	24367
310	39870	24229
311	40047	24130
312	40204	24020
313	40330	23890
314	40470	23768
315	40602	23641
316	40722	23508
317	40855	23382
318	40972	23247
319	41021	23074
320	41048	22890
321	41128	22735
322	41263	22611
323	41378	22477
324	41428	22307
325	41558	22181
326	41668	22045
327	41770	21903
328	41897	21776
329	42039	21656
330	42158	21524
331	42236	21372
332	42358	21243
333	42486	21116
334	42605	20984
335	42720	20851
336	42820	20711
337	42912	20567
338	43037	20439
339	43156	20309
340	43280	20180
341	43410	20055
342	43543	19930
343	43678	19807
344	43836	19694
345	43955	19563
346	44069	19431
347	44201	19306
348	44314	19173
349	44410	19033
350	44519	18898
351	44647	18772
352	44747	18634
353	44842	18494
354	44959	18363
355	45082	18235
356	45183	18098
357	45333	17981
358	45477	17861
359	45603	17734
360	45676	17587
361	45814	17465
362	45909	17326
363	45937	17163
364	46059	17035
365	46202	16915
366	46263	16765
367	46367	16631
368	46499	16507
369	46625	16381
370	46735	16250
371	46947	16153
372	47124	16045
373	47291	15932
374	47368	15789
375	47498	15664
376	47697	15561
377	47831	15437
378	47998	15324
379	48141	15202
380	48271	15076
381	48439	14962
382	48491	14813
383	48638	14692
384	48733	14556
385	48880	14436
386	49082	14331
387	49229	14210
388	49371	14087
389	49529	13969
390	49650	13841
391	49773	13713
392	49887	13582
393	50022	13457
394	50172	13337
395	50264	13200
396	50326	13057
397	50448	12928
398	50556	12797
399	50698	12674
400	50832	12549
401	50957	12422
402	51102	12300
403	51231	12173
404	51270	12026
405	51362	11891
406	51469	11760
407	51596	11634
408	51700	11502
409	51829	11377
410	51950	11249
411	52071	11122
412	52179	10991
413	52377	10880
414	52511	10755
415	52644	10630
416	52712	10491
417	52842	10366
418	52968	10239
419	53080	10110
420	53217	9986
421	53353	9861
422	53406	9721
423	53525	9594
424	53542	9448
425	53673	9323
426	53773	9193
427	53805	9051
428	53923	8924
429	54058	8800
430	54125	8665
431	54193	8530
432	54327	8406
433	54472	8283
434	54598	8158
435	54708	8030
436	54803	7900
437	54915	7773
438	55038	7647
439	55137	7518
440	55236	7389
441	55358	7264
442	55474	7137
443	55581	7010
444	55732	6888
445	55866	6764
446	55981	6637
447	56139	6516
448	56259	6390
449	56357	6261
450	56453	6133
451	56542	6004
452	56674	5880
453	56770	5752
454	56883	5625
455	57033	5503
456	57120	5374
457	57265	5251
458	57422	5129
459	57603	5009
460	57750	4885
461	57902	4762
462	58055	4639
463	58191	4514
464	58330	4390
465	58470	4266
466	58538	4136
467	58698	4013
468	58838	3889
469	58971	3764
470	59165	3642
471	59188	3511
472	59331	3386
473	59441	3260
474	59601	3136
475	59736	3011
476	59863	2886
477	59889	2756
478	60062	2633
479	60220	2509
480	60331	2383
481	60476	2258
482	60597	2132
483	60701	2006
484	60819	1881
485	60969	1756
486	61119	1631
487	61236	1505
488	61380	1380
489	61455	1254
490	61573	1128
491	61669	1002
492	61778	877
493	61845	751
494	61941	625
495	62044	500
496	62162	375
497	62227	249
498	62320	124
499	62421	0
